corp_name,stock_code,kind_code
성호전자,043260,04326
세운메디칼,100700,10070
세종메디칼,258830,25883
세종텔레콤,036630,03663
스카이이앤엠,131100,13110
스튜디오드래곤,253450,25345
시공테크,020710,02071
시큐브,131090,13109
신도기연,290520,29052
신테카바이오,226330,22633
쎄노텍,222420,22242
씨큐브,101240,10124
씨티케이,260930,26093
아모센스,357580,35758
아이디피,332370,33237
아이스크림에듀,289010,28901
아이씨디,040910,04091
아이즈비전,031310,03131
아이톡시,052770,05277
아즈텍WB,032080,03208
아진산업,013310,01331
알티캐스트,085810,08581
애니젠,196300,19630
어스앤에어로스페이스,263540,26354
얼라인드,238120,23812
에브리봇,270660,27066
에스앤디,260970,26097
에스제이그룹,306040,30604
에스트래픽,234300,23430
에이디칩스,054630,05463
에이루트,096690,09669
에이비엘바이오,298380,29838
엑셈,205100,20510
엔지스테크널러지,208860,20886
엔케이맥스,182400,18240
엔텔스,069410,06941
엘디티,096870,09687
엘비세미콘,061970,06197
영림원소프트랩,060850,06085
오스템임플란트,048260,04826
오텍,067170,06717
와이즈버즈,273060,27306
우리바이오,082850,08285
원풍,008370,00837
위닉스,044340,04434
위메이드,112040,11204
위메이드맥스,101730,10173
유비벨록스,089850,08985
유비쿼스,264450,26445
유아이엘,049520,04952
유진스팩7호,388800,38880
유진스팩8호,413630,41363
유진스팩8호,413630,41363
유진테크,084370,08437
유테크,178780,17878
유틸렉스,263050,26305
이건홀딩스,039020,03902
이노와이어리스,073490,07349
이니텍,053350,05335
이미지스,115610,11561
이화전기,024810,02481
인바디,041830,04183
인산가,277410,27741
인지디스플레,037330,03733
인트로메딕,150840,15084
자이언트스텝,289220,28922
재영솔루텍,049630,04963
제이티,089790,08979
제일테크노스,038010,03801
좋은사람들,033340,03334
진성티이씨,036890,03689
초록뱀미디어,047820,04782
캐리소프트,317530,31753
캠시스,050110,05011
컴투스홀딩스,063080,06308
케스피온,079190,07919
케어랩스,263700,26370
케어젠,214370,21437
케이피에프,024880,02488
코디엠,224060,22406
코스맥스엔비티,222040,22204
코스메카코리아,241710,24171
코이즈,121850,12185
코프라,126600,12660
태양,053620,05362
태웅로직스,124560,12456
토비스,051360,05136
티비씨,033830,03383
티엘비,356860,35686
파나진,046210,04621
파버나인,177830,17783
포바이포,389140,38914
포바이포,389140,38914
퓨런티어,370090,37009
프로이천,321260,32126
프로텍,053610,05361
플래티어,367000,36700
피씨엘,241820,24182
하나금융16호스팩,343510,34351
하이제5호스팩,340120,34012
한국알콜,017890,01789
한국정보통신,025770,02577
한국캐피탈,023760,02376
한일네트웍스,046110,04611
한일단조,024740,02474
해성옵틱스,076610,07661
현우산업,092300,09230
협진,138360,13836
KC산업,112190,11219
SK시그넷,260870,26087
노드메이슨,317860,31786
라피치,403360,40336
럭스피아,092590,09259
무진메디,322970,32297
씨앤에스링크,245450,24545
에스엔피제네틱스,086460,08646
에스제이켐,217910,21791
태양기계,116100,11610
한중엔시에스,107640,10764
AJ네트웍스,095570,09557
CJ대한통운,000120,00012
DL건설,001880,00188
ESR켄달스퀘어리츠,365550,36555
F&F,383220,38322
HJ중공업,097230,09723
HMM,011200,01120
KPX홀딩스,092230,09223
KSS해운,044450,04445
LG생활건강,051900,05190
LG화학,051910,05191
LIG넥스원,079550,07955
NH투자증권,005940,00594
NICE,034310,03431
NI스틸,008260,00826
SH에너지화학,002360,00236
SK네트웍스,001740,00174
SK증권,001510,00151
SK텔레콤,017670,01767
SNT에너지,100840,10084
경인양행,012610,01261
경인전자,009140,00914
교촌에프앤비,339770,33977
기신정기,092440,09244
까뮤이앤씨,013700,01370
넥센타이어,002350,00235
농심,004370,00437
대덕,008060,00806
대동전자,008110,00811
대림비앤코,005750,00575
대양금속,009190,00919
대웅제약,069620,06962
대창,012800,01280
대한전선,001440,00144
대한항공,003490,00349
동국제강,001230,00123
두산밥캣,241560,24156
두산에너빌리티,034020,03402
디아이동일,001530,00153
디아이씨,092200,09220
락앤락,115390,11539
롯데관광개발,032350,03235
롯데칠성음료,005300,00530
롯데케미칼,011170,01117
마스턴프리미어리츠,357430,35743
마스턴프리미어리츠,357430,35743
만도,204320,20432
맵스리얼티1,094800,09480
미래아이앤지,007120,00712
미래에셋글로벌리츠,396690,39669
바다로19호,155900,15590
부산산업,011390,01139
부산주공,005030,00503
사조산업,007160,00716
사조씨푸드,014710,01471
삼성제약,001360,00136
삼원강재,023000,02300
삼화왕관,004450,00445
서연,007860,00786
세아특수강,019440,01944
세진중공업,075580,07558
셀트리온,068270,06827
신성통상,005390,00539
써니전자,004770,00477
쎌마테라퓨틱스,015540,01554
씨에스윈드,112610,11261
아세아제지,002310,00231
에넥스,011090,01109
에스제이엠,123700,12370
엔케이,085310,08531
엔피씨,004250,00425
엘에스일렉트릭,010120,01012
영원무역,111770,11177
영원무역홀딩스,009970,00997
용평리조트,070960,07096
우신시스템,017370,01737
우진플라임,049800,04980
유니드,014830,01483
유안타증권,003470,00347
유진증권,001200,00120
이건산업,008250,00825
이연제약,102460,10246
인바이오젠,101140,10114
인스코비,006490,00649
일진하이솔루스,271940,27194
제주은행,006220,00622
조광페인트,004910,00491
조선내화,000480,00048
지엠비코리아,013870,01387
케이씨씨,002380,00238
케이씨씨글라스,344820,34482
코오롱인더,120110,12011
태경케미컬,006890,00689
티케이지휴켐스,069260,06926
페이퍼코리아,001020,00102
하나제약,293480,29348
하나투어,039130,03913
한국공항,005430,00543
한국철강,104700,10470
한국콜마,161890,16189
한미글로벌,053690,05369
한신공영,004960,00496
한양증권,001750,00175
한진,002320,00232
한진중공업홀딩스,003480,00348
한화,000880,00088
현대건설기계,267270,26727
현대두산인프라코어,042670,04267
현대에너지솔루션,322000,32200
현대일렉트릭,267260,26726
현대제철,004020,00402
화승코퍼레이션,013520,01352
황금에스티,032560,03256
효성중공업,298040,29804
효성첨단소재,298050,29805
DSC인베스트먼트,241520,24152
EG,037370,03737
GST,083450,08345
HB솔루션,297890,29789
HK이노엔,195940,19594
ITX-AI,099520,09952
KBG,318000,31800
KMH,122450,12245
PN풍년,024940,02494
SDN,099220,09922
가비아,079940,07994
경남스틸,039240,03924
경동제약,011040,01104
골드앤에스,035290,03529
글로벌텍스프리,204620,20462
내츄럴엔도텍,168330,16833
네오셈,253590,25359
네오위즈홀딩스,042420,04242
네이블커뮤니케이션즈,153460,15346
넥슨게임즈,225570,22557
뉴프렉스,085670,08567
대성엘텍,025440,02544
대신밸런스제11호스팩,397500,39750
대양전기공업,108380,10838
대주산업,003310,00331
덕산테코피아,317330,31733
동진쎄미켐,005290,00529
드림어스컴퍼니,060570,06057
디바이스이엔지,187870,18787
디비금융스팩10호,404950,40495
디알젬,263690,26369
램테크놀러지,171010,17101
레드로버,060300,06030
레이크머티리얼즈,281740,28174
레인보우로보틱스,277810,27781
로지시스,067730,06773
리노스,039980,03998
링네트,042500,04250
마이크로프랜드,147760,14776
매직마이크로,127160,12716
메가스터디교육,215200,21520
메드팩토,235980,23598
메디톡스,086900,08690
멜파스,096640,09664
모베이스전자,012860,01286
모비데이즈,363260,36326
모아데이타,288980,28898
모헨즈,006920,00692
미코,059090,05909
민앤지,214180,21418
바이넥스,053030,05303
바이브컴퍼니,301300,30130
바이오톡스텍,086040,08604
바이온,032980,03298
블루콤,033560,03356
비보존 헬스케어,082800,08280
비에이치아이,083650,08365
비트나인,357880,35788
