corp_code,inventory,totalEquity,CofGS,totalDebt,CFfromO,accountReceivable,accountPayables,revenue
129615,22175327868,35322672258,28424334868,79504141185,-463642264,41542884886,21924060053,34021328113
654272,8062546411,40224307676,8862431790,27899799113,1134722635,4841624651,1919525833,11070710040
117230,178396145343,184963590127,172210381636,519053543967,25213711575,136810828026,124285905290,215184262956
157070,109780467580,796307460355,185873928932,250289032453,19653307643,209562065402,95111850914,235902059406
447928,5924885750,45547954119,7772667817,55790045558,332624543,12655784145,2501255943,10694454513
799070,10272252,1250318412,39530357,50750476,43003007,124075847,11437786,54266628
146436,35276342269,253911507635,200171382349,612733514268,1465924505,114035488575,112708118437,228859068046
1157235,2025534522,5400354407,213378888,1847321056,-389330620,282289407,14520550,274257000
1159233,183122945232,256966398046,198243185823,311500677193,-20980393089,16696670258,10952710531,234282693260
369833,29052503449,83846891859,25220407884,95329648648,166768423,-715093264,447651983,28459965456
349732,13903856065,105523998313,19947818806,827371885460,247273018697,12907259259,3621530568,38514912843
137915,1314035190,69056154814,15066956879,19666030819,1172359262,13907945537,4929208512,16654700922
481454,456492887728,1182969236027,469065106453,2814397782612,-53921212924,510963594086,208048660282,585626588822
186939,5700535243,92305952590,56791348542,88108782197,-8316620693,1013027731,30002452544,60106277519
121039,32465482450,91331255725,16352020470,148969441027,-2218626973,27444280484,16807648890,31481500852
814786,2847746775,35715289911,2267571620,37086149053,442209530,4370704885,619126140,2557523356
1135941,446559958373,678936305481,158312359402,568509653706,-13257404800,-15114153386,14033378999,254518723955
219574,67840290949,339587157459,112133413554,560048683918,-17115740638,99022516725,67146673576,134638247000
165583,361326204806,1275755657617,1170656217991,2481342383007,-26061111191,642406488602,345936839059,1262606439574
151368,2278512720,192694546747,112983638021,200375545366,8259372231,116587188326,56692488315,121980124915
536523,28684182147,84872116981,35770708062,52078425909,-6533918539,45366173271,40500164617,39581782994
945208,816775200,21264566975,2449039526,4408295958,-5422987773,1224403352,777165064,2821882941
1137903,11909310099,71552159654,62548992658,34308517205,6238501805,27652054122,25147332579,66799093508
367385,6953485846,72808810210,2552789026,7322557763,4460626018,3464840369,771762640,3975569942
633835,168575000000,279335000000,278360000000,1902592000000,-71779000000,83052000000,178718000000,274483000000
106641,7856832000000,30825041000000,13687473000000,33143952000000,1877450000000,2216941000000,8194164000000,16581735000000
126186,21930659459,6878996190118,2632413828192,2668631848909,284845662528,1448081905737,571874999768,3061308383774
258102,37789226780,142733011701,12949718925,98911298465,6763473376,9256476399,11854975006,27925564328
128555,25961950510,1447793713747,1041920646675,2783549923355,330888271828,398607049601,568709370676,1197135717323
480367,31910105320,245401812266,91541556035,471916969825,4023525687,20485261132,42750642432,107306546722
298447,72417891782,183625081063,48589596335,243423772861,5029140381,28346631483,24701399665,54859030118
176914,44930781,3506937881430,981952600294,35562917553572,1447241877323,10885303387,2382936287,1492197341095
109161,1366501527,136589123057,7526425914,21067768115,1329863979,10783718544,1937866623,13799819082
201733,15287389659,77167713487,9110980371,30051708288,2023511774,2581459742,1741922798,12880641466
529815,8416513302,122849209666,10971914263,14286740500,998916952,15727181105,4444980689,13268947452
557933,53080945981,98188427621,7643309286,28264794839,10706336765,1523097117,954986484,14642736158
114154,14109602788,58405989213,327636909473,443077800168,4527737835,193780485842,261374588930,333347247459
806972,4013665861,21067281301,1512425229,60121786324,-78896058,13194905548,13823364461,1898235028
614593,6898793467,117755332835,4516793587,41525524281,1137770725,9399183601,1432168179,5674486193
866062,7653217348,90984232232,14036440243,75807081135,-1151996596,16474777018,5977028574,17585893322
1074862,12185314290,279195482767,85025660914,326375906638,54240867298,36235406211,26454519577,172179247705
151128,11396065412,409232874714,40721510339,26059224892,-1866565058,18087255302,13084392272,46968750782
351807,16937067368,113184457682,66660341498,40702786669,3106099137,15680002279,6258391673,76216679228
123523,12927923129,132984740752,19172030814,63757851038,10799820200,23145141090,6453059210,26685352953
1110076,4237074775,33612437059,1190393925,21118443424,3684589181,607472504,147419410,1610698216
1243161,8192003026,35777187986,2910150836,32053365238,1401584790,620093518,814485104,7595834530
347716,2338355606,29573995505,2412833687,31054040893,-1746614049,3197975518,1650397670,2654235522
1165739,35217296,57147235,24036136,46704273,1136729,20650120,16800099,30318020
405278,206597623,277080366429,50481017528,204407572522,30927421666,19428328322,1265447953,76056112777
679314,115336107287,411281453574,209496343071,399015784125,1967373372,-31314723107,18814291987,248501135207
142865,6385781535,116982698825,27182122804,15168825641,-161432423,25978932582,7085299443,28642354847
418379,5336005780,40205586102,7093005649,32487719955,-4459660483,5806349927,5187709450,8420321148
120076,858172428440,1865392009849,3425680673279,4173704681938,-51390322607,1628206468025,1935152996823,3685179912825
170558,160959682490,1530766101928,299195101377,1855563918824,121565107515,307042812885,74834505143,878992033732
